"dewpti","hum","pressurei","tempm","wdird","wspdm","Value","wday","mday","nminus1Val","nminus2Val","nminus3Val","nminus4Val","nminus5Val"
39.2,51,30.15,14,300,10.8,100,5,11,79,72,68,62,58
41,58,30.18,13,300,10.8,107,5,11,100,79,72,68,62
42.8,63,30.18,13,290,10.8,115,5,11,107,100,79,72,68
42.8,63,30.18,13,320,10.8,109,5,11,115,107,100,79,72
42.8,63,30.18,13,320,10.8,105,6,12,109,115,107,100,79
42.8,67,30.18,12,310,7.2,97,6,12,105,109,115,107,100
44.6,72,30.18,12,350,7.2,92,6,12,97,105,109,115,107
42.8,67,30.18,12,350,7.2,107,6,12,92,97,105,109,115
41,67,30.18,11,360,7.2,106,6,12,107,92,97,105,109
42.8,76,30.15,10,350,7.2,117,6,12,106,107,92,97,105
44.6,82,30.18,10,340,10.8,129,6,12,117,106,107,92,97
44.6,82,30.18,10,340,7.2,120,6,12,129,117,106,107,92
44.6,76,30.18,11,350,7.2,103,6,12,120,129,117,106,107
42.8,67,30.18,12,320,7.2,46,6,12,103,120,129,117,106
42.8,63,30.21,13,350,21.6,60,6,12,46,103,120,129,117
39.2,62,30.21,11,290,28.8,47,6,12,60,46,103,120,129
37.4,51,30.18,13,300,14.4,36,6,12,47,60,46,103,120
35.6,47,30.12,13,310,14.4,43,6,12,36,47,60,46,103
30.2,34,30.09,15,320,14.4,31,6,12,43,36,47,60,46
28.4,31,30.06,15,330,21.6,30,6,12,31,43,36,47,60
26.6,29,30.04,15,330,14.4,26,6,12,30,31,43,36,47
26.6,29,30.04,15,340,7.2,25,6,12,26,30,31,43,36
30.2,36,30.01,14,330,14.4,30,6,12,25,26,30,31,43
35.6,47,30.01,13,320,10.8,31,6,12,30,25,26,30,31
37.4,51,30.01,13,300,10.8,39,6,12,31,30,25,26,30
39.2,58,30.04,12,300,7.2,47,6,12,39,31,30,25,26
41,76,30.04,9,290,3.6,51,6,12,47,39,31,30,25
41,71,30.01,10,330,10.8,62,6,12,51,47,39,31,30
41,76,30.01,9,320,7.2,62,0,13,62,51,47,39,31
41,76,30.01,9,310,7.2,63,0,13,62,62,51,47,39
41,87,29.98,7,350,3.6,67,0,13,63,62,62,51,47
39.2,81,29.98,7,360,7.2,69,0,13,67,63,62,62,51
41,93,29.95,6,350,3.6,72,0,13,69,67,63,62,62
37.4,93,29.95,4,340,10.8,71,0,13,72,69,67,63,62
39.2,87,29.98,6,340,7.2,68,0,13,71,72,69,67,63
39.2,81,29.98,7,360,7.2,81,0,13,68,71,72,69,67
39.2,66,29.98,10,320,7.2,83,0,13,81,68,71,72,69
39.2,54,29.98,13,350,7.2,80,0,13,83,81,68,71,72
39.2,45,29.98,16,340,3.6,78,0,13,80,83,81,68,71
39.2,40,29.98,18,300,3.6,94,0,13,78,80,83,81,68
37.4,31,29.92,21,310,7.2,110,0,13,94,78,80,83,81
37.4,25,29.89,24,310,10.8,89,0,13,110,94,78,80,83
33.8,21,29.86,25,320,18,59,0,13,89,110,94,78,80
35.6,22,29.83,25,330,21.6,36,0,13,59,89,110,94,78
26.6,16,29.8,25,320,21.6,28,0,13,36,59,89,110,94
28.4,18,29.8,24,340,21.6,51,0,13,28,36,59,89,110
30.2,22,29.8,22,330,14.4,44,0,13,51,28,36,59,89
30.2,24,29.83,20,300,14.4,39,0,13,44,51,28,36,59
26.6,21,29.86,20,300,18,51,0,13,39,44,51,28,36
32,25,29.86,21,290,25.2,75,0,13,51,39,44,51,28
37.4,33,29.86,20,320,21.6,89,0,13,75,51,39,44,51
39.2,40,29.86,18,320,14.4,98,1,14,89,75,51,39,44
41,51,29.86,15,310,7.2,98,1,14,98,89,75,51,39
41,62,29.83,12,350,3.6,106,1,14,98,98,89,75,51
42.8,67,29.86,12,360,7.2,106,1,14,106,98,98,89,75
41,76,29.86,9,350,3.6,112,1,14,106,106,98,98,89
42.8,82,29.86,9,340,3.6,114,1,14,112,106,106,98,98
42.8,87,29.86,8,340,3.6,120,1,14,114,112,106,106,98
44.6,82,29.89,10,360,7.2,128,1,14,120,114,112,106,106
46.4,63,29.89,15,320,3.6,133,1,14,128,120,114,112,106
48.2,59,29.92,17,350,3.6,110,1,14,133,128,120,114,112
46.4,46,29.89,20,340,7.2,122,1,14,110,133,128,120,114
44.6,36,29.89,23,300,10.8,153,1,14,122,110,133,128,120
44.6,32,29.86,25,310,10.8,108,1,14,153,122,110,133,128
37.4,21,29.83,27,310,14.4,109,1,14,108,153,122,110,133
37.4,21,29.8,27,330,21.6,81,1,14,109,108,153,122,110
33.8,18,29.77,27,330,21.6,77,1,14,81,109,108,153,122
33.8,18,29.74,27,320,25.2,63,1,14,77,81,109,108,153
28.4,15,29.74,27,330,21.6,79,1,14,63,77,81,109,108
32,19,29.77,25,320,18,103,1,14,79,63,77,81,109
37.4,27,29.77,23,300,14.4,123,1,14,103,79,63,77,81
42.8,35,29.83,22,290,14.4,125,1,14,123,103,79,63,77
44.6,40,29.83,21,320,18,148,1,14,125,123,103,79,63
46.4,46,29.83,20,330,18,156,1,14,148,125,123,103,79
50,56,29.83,19,330,18,157,1,14,156,148,125,123,103
51.8,64,29.83,18,320,10.8,152,2,15,157,156,148,125,123
51.8,68,29.83,17,310,7.2,168,2,15,152,157,156,148,125
51.8,72,29.83,16,350,7.2,171,2,15,168,152,157,156,148
51.8,82,29.83,14,360,7.2,154,2,15,171,168,152,157,156
51.8,82,29.83,14,350,7.2,151,2,15,154,171,168,152,157
50,82,29.86,13,340,7.2,146,2,15,151,154,171,168,152
50,82,29.86,13,340,7.2,143,2,15,146,151,154,171,168
51.8,88,29.89,13,360,3.6,152,2,15,143,146,151,154,171
51.8,77,29.89,15,320,3.6,176,2,15,152,143,146,151,154
51.8,72,29.92,16,350,3.6,192,2,15,176,152,143,146,151
53.6,68,29.92,18,340,3.6,195,2,15,192,176,152,143,146
53.6,60,29.89,20,300,10.8,208,2,15,195,192,176,152,143
55.4,57,29.89,22,310,10.8,216,2,15,208,195,192,176,152
55.4,57,29.86,22,310,14.4,197,2,15,216,208,195,192,176
53.6,50,29.86,23,330,14.4,180,2,15,197,216,208,195,192
51.8,44,29.83,24,330,18,161,2,15,180,197,216,208,195
50,39,29.83,25,320,18,166,2,15,161,180,197,216,208
46.4,34,29.83,25,330,14.4,167,2,15,166,161,180,197,216
50,44,29.83,23,320,7.2,168,2,15,167,166,161,180,197
50,49,29.86,21,300,3.6,178,2,15,168,167,166,161,180
51.8,56,29.86,20,300,7.2,192,2,15,178,168,167,166,161
53.6,68,29.89,18,290,3.6,220,2,15,192,178,168,167,166
51.8,68,29.92,17,320,3.6,231,2,15,220,192,178,168,167
51.8,64,29.92,18,320,7.2,251,2,15,231,220,192,178,168
50,63,29.92,17,320,10.8,263,3,16,251,231,220,192,178
50,68,29.92,16,310,14.4,232,3,16,263,251,231,220,192
48.2,63,29.92,16,350,10.8,203,3,16,232,263,251,231,220
48.2,67,29.92,15,360,3.6,197,3,16,203,232,263,251,231
48.2,72,29.92,14,350,7.2,200,3,16,197,203,232,263,251
48.2,72,29.92,14,340,7.2,212,3,16,200,197,203,232,263
46.4,77,29.95,12,340,3.6,218,3,16,212,200,197,203,232
50,82,29.95,13,360,0,234,3,16,218,212,200,197,203
50,68,29.98,16,320,3.6,256,3,16,234,218,212,200,197
50,63,29.98,17,350,7.2,257,3,16,256,234,218,212,200
51.8,60,29.98,19,340,10.8,273,3,16,257,256,234,218,212
53.6,53,29.98,22,300,10.8,245,3,16,273,257,256,234,218
48.2,38,29.95,24,310,7.2,245,3,16,245,273,257,256,234
46.4,32,29.92,26,310,10.8,155,3,16,245,245,273,257,256
41,24,29.89,27,330,14.4,116,3,16,155,245,245,273,257
41,23,29.86,28,330,18,128,3,16,116,155,245,245,273
41,24,29.86,27,320,14.4,115,3,16,128,116,155,245,245
42.8,28,29.86,26,330,14.4,130,3,16,115,128,116,155,245
42.8,29,29.89,25,320,7.2,147,3,16,130,115,128,116,155
41,33,29.89,22,300,7.2,179,3,16,147,130,115,128,116
42.8,38,29.89,21,300,3.6,175,3,16,179,147,130,115,128
44.6,40,29.92,21,290,10.8,188,3,16,175,179,147,130,115
53.6,64,29.95,19,320,14.4,202,3,16,188,175,179,147,130
53.6,68,29.95,18,320,7.2,212,3,16,202,188,175,179,147
53.6,72,29.95,17,320,10.8,217,4,17,212,202,188,175,179
51.8,72,29.92,16,310,7.2,227,4,17,217,212,202,188,175
48.2,63,29.92,16,350,10.8,225,4,17,227,217,212,202,188
48.2,72,29.92,14,360,3.6,236,4,17,225,227,217,212,202
48.2,77,29.92,13,350,3.6,237,4,17,236,225,227,217,212
48.2,82,29.95,12,340,3.6,228,4,17,237,236,225,227,217
48.2,82,29.95,12,340,3.6,220,4,17,228,237,236,225,227
48.2,77,29.95,13,360,3.6,217,4,17,220,228,237,236,225
46.4,63,29.98,15,320,7.2,230,4,17,217,220,228,237,236
48.2,59,29.98,17,350,3.6,231,4,17,230,217,220,228,237
50,46,29.95,22,290,10.8,247,4,17,231,230,217,220,228
50,41,29.95,24,300,10.8,202,4,17,247,231,230,217,220
50,36,29.92,26,310,10.8,154,4,17,202,247,231,230,217
44.6,26,29.89,28,320,18,142,4,17,154,202,247,231,230
39.2,20,29.86,29,330,21.6,119,4,17,142,154,202,247,231
39.2,20,29.83,29,330,21.6,104,4,17,119,142,154,202,247
37.4,20,29.83,28,320,21.6,115,4,17,104,119,142,154,202
35.6,20,29.83,27,340,21.6,132,4,17,115,104,119,142,154
39.2,26,29.86,25,330,14.4,124,4,17,132,115,104,119,142
41,33,29.89,22,300,10.8,123,4,17,124,132,115,104,119
42.8,38,29.89,21,300,10.8,111,4,17,123,124,132,115,104
44.6,40,29.92,21,290,7.2,108,4,17,111,123,124,132,115
44.6,46,29.92,19,330,10.8,113,4,17,108,111,123,124,132
44.6,46,29.92,19,320,10.8,121,5,18,113,108,111,123,124
44.6,52,29.92,17,310,7.2,128,5,18,121,113,108,111,123
42.8,52,29.92,16,350,3.6,131,5,18,128,121,113,108,111
44.6,63,29.95,14,360,3.6,127,5,18,131,128,121,113,108
44.6,67,29.95,13,350,3.6,139,5,18,127,131,128,121,113
44.6,67,29.95,13,340,3.6,139,5,18,139,127,131,128,121
44.6,67,29.98,13,340,3.6,144,5,18,139,139,127,131,128
46.4,63,29.98,15,360,7.2,162,5,18,144,139,139,127,131
48.2,59,30.01,17,320,10.8,201,5,18,162,144,139,139,127
48.2,49,30.01,20,350,7.2,610,5,18,201,162,144,139,139
48.2,46,30.04,21,340,7.2,273,5,18,610,201,162,144,139
48.2,41,30.01,23,300,7.2,153,5,18,273,610,201,162,144
44.6,32,30.01,25,310,18,148,5,18,153,273,610,201,162
44.6,28,29.98,27,310,18,132,5,18,148,153,273,610,201
44.6,28,29.95,27,330,18,123,5,18,132,148,153,273,610
44.6,26,29.95,28,330,21.6,133,5,18,123,132,148,153,273
44.6,28,29.92,27,320,21.6,116,5,18,133,123,132,148,153
42.8,28,29.92,26,330,21.6,164,5,18,116,133,123,132,148
46.4,34,29.92,25,320,14.4,131,5,18,164,116,133,123,132
42.8,31,29.95,24,300,18,134,5,18,131,164,116,133,123
44.6,40,29.95,21,290,7.2,121,5,18,134,131,164,116,133
46.4,49,29.98,19,320,7.2,125,5,18,121,134,131,164,116
48.2,56,29.98,18,330,7.2,153,5,18,125,121,134,131,164
48.2,59,29.98,17,330,3.6,159,5,18,153,125,121,134,131
48.2,59,29.98,17,320,3.6,167,6,19,159,153,125,121,134
50,63,29.98,17,310,14.4,160,6,19,167,159,153,125,121
51.8,68,29.98,17,350,7.2,154,6,19,160,167,159,153,125
51.8,72,29.98,16,360,7.2,178,6,19,154,160,167,159,153
51.8,72,29.98,16,350,7.2,204,6,19,178,154,160,167,159
50,68,29.98,16,340,3.6,203,6,19,204,178,154,160,167
50,68,29.98,16,340,0,194,6,19,203,204,178,154,160
50,63,30.01,17,360,3.6,157,6,19,194,203,204,178,154
50,59,30.01,18,320,14.4,144,6,19,157,194,203,204,178
50,56,30.01,19,350,14.4,146,6,19,144,157,194,203,204
50,52,30.01,20,340,14.4,139,6,19,146,144,157,194,203
50,49,30.01,21,300,14.4,157,6,19,139,146,144,157,194
50,49,30.01,21,310,10.8,180,6,19,157,139,146,144,157
53.6,56,29.98,21,310,14.4,196,6,19,180,157,139,146,144
51.8,50,29.98,22,330,14.4,165,6,19,196,180,157,139,146
51.8,47,29.95,23,330,18,155,6,19,165,196,180,157,139
53.6,53,29.95,22,320,18,169,6,19,155,165,196,180,157
51.8,53,29.95,21,330,10.8,160,6,19,169,155,165,196,180
46.4,43,29.95,21,320,10.8,116,6,19,160,169,155,165,196
42.8,40,29.98,20,300,14.4,77,6,19,116,160,169,155,165
41,37,29.98,20,290,18,73,6,19,77,116,160,169,155
44.6,46,30.01,19,320,18,73,6,19,73,77,116,160,169
46.4,52,30.01,18,330,14.4,63,6,19,73,73,77,116,160
46.4,52,30.04,18,330,10.8,52,6,19,63,73,73,77,116
46.4,52,30.04,18,320,10.8,63,0,20,52,63,73,73,77
46.4,55,30.04,17,310,10.8,69,0,20,63,52,63,73,73
44.6,52,30.04,17,350,7.2,89,0,20,69,63,52,63,73
42.8,48,30.01,17,360,10.8,99,0,20,89,69,63,52,63
42.8,52,30.01,16,350,10.8,82,0,20,99,89,69,63,52
42.8,52,30.01,16,340,10.8,73,0,20,82,99,89,69,63
41,51,30.04,15,340,10.8,64,0,20,73,82,99,89,69
42.8,55,30.06,15,360,14.4,52,0,20,64,73,82,99,89
48.2,77,30.09,13,320,18,60,0,20,52,64,73,82,99
51.8,94,30.12,12,350,7.2,48,0,20,60,52,64,73,82
51.8,94,30.12,12,340,7.2,53,0,20,48,60,52,64,73
51.8,94,30.12,12,300,3.6,67,0,20,53,48,60,52,64
53.6,94,30.12,13,310,7.2,71,0,20,67,53,48,60,52
51.8,88,30.09,13,310,10.8,45,0,20,71,67,53,48,60
51.8,94,30.09,12,330,10.8,39,0,20,45,71,67,53,48
53.6,100,30.09,12,330,7.2,48,0,20,39,45,71,67,53
51.8,94,30.09,12,320,10.8,46,0,20,48,39,45,71,67
51.8,94,30.06,12,330,7.2,37,0,20,46,48,39,45,71
51.8,94,30.09,12,320,7.2,49,0,20,37,46,48,39,45
51.8,94,30.09,12,300,7.2,54,0,20,49,37,46,48,39
51.8,94,30.12,12,290,7.2,51,0,20,54,49,37,46,48
51.8,94,30.12,12,320,7.2,49,0,20,51,54,49,37,46
51.8,94,30.15,12,330,3.6,44,0,20,49,51,54,49,37
51.8,100,30.15,11,330,7.2,33,0,20,44,49,51,54,49
51.8,100,30.15,11,320,3.6,41,1,21,33,44,49,51,54
51.8,100,30.12,11,310,7.2,27,1,21,41,33,44,49,51
50,94,30.12,11,350,7.2,17,1,21,27,41,33,44,49
50,94,30.12,11,360,10.8,20,1,21,17,27,41,33,44
50,94,30.12,11,350,10.8,22,1,21,20,17,27,41,33
50,94,30.12,11,340,14.4,15,1,21,22,20,17,27,41
50,94,30.12,11,340,7.2,13,1,21,15,22,20,17,27
50,94,30.15,11,360,7.2,13,1,21,13,15,22,20,17
50,94,30.18,11,320,10.8,25,1,21,13,13,15,22,20
51.8,94,30.18,12,350,7.2,24,1,21,25,13,13,15,22
51.8,94,30.18,12,340,7.2,20,1,21,24,25,13,13,15
50,88,30.18,12,300,10.8,28,1,21,20,24,25,13,13
50,82,30.18,13,310,10.8,26,1,21,28,20,24,25,13
51.8,82,30.18,14,310,7.2,25,1,21,26,28,20,24,25
50,77,30.15,14,320,10.8,28,1,21,25,26,28,20,24
51.8,77,30.12,15,330,3.6,23,1,21,28,25,26,28,20
51.8,82,30.09,14,330,10.8,28,1,21,23,28,25,26,28
50,77,30.09,14,340,7.2,19,1,21,28,23,28,25,26
50,77,30.09,14,330,10.8,28,1,21,19,28,23,28,25
50,77,30.12,14,320,3.6,31,1,21,28,19,28,23,28
50,77,30.12,14,300,7.2,33,1,21,31,28,19,28,23
50,77,30.12,14,290,3.6,36,1,21,33,31,28,19,28
51.8,88,30.12,13,320,3.6,47,1,21,36,33,31,28,19
51.8,88,30.12,13,320,10.8,64,1,21,47,36,33,31,28
51.8,94,30.12,12,320,3.6,60,2,22,64,47,36,33,31
51.8,94,30.09,12,310,7.2,55,2,22,60,64,47,36,33
51.8,94,30.06,12,350,3.6,54,2,22,55,60,64,47,36
51.8,94,30.06,12,360,7.2,55,2,22,54,55,60,64,47
51.8,94,30.04,12,350,3.6,64,2,22,55,54,55,60,64
51.8,94,30.04,12,340,7.2,46,2,22,64,55,54,55,60
46.4,82,30.06,11,340,18,17,2,22,46,64,55,54,55
44.6,76,30.04,11,360,18,26,2,22,17,46,64,55,54
39.2,62,30.06,11,320,28.8,27,2,22,26,17,46,64,55
37.4,58,30.06,11,350,36,32,2,22,27,26,17,46,64
35.6,51,30.06,12,340,32.4,24,2,22,32,27,26,17,46
33.8,47,30.06,12,290,32.4,28,2,22,24,32,27,26,17
32,41,30.06,13,300,32.4,26,2,22,28,24,32,27,26
32,36,30.04,15,310,43.2,24,2,22,26,28,24,32,27
32,36,30.04,15,320,36,22,2,22,24,26,28,24,32
30.2,34,30.04,15,330,43.2,22,2,22,22,24,26,28,24
28.4,33,30.06,14,330,46.8,29,2,22,22,22,24,26,28
26.6,33,30.06,13,340,39.6,18,2,22,29,22,22,24,26
24.8,33,30.09,12,330,36,15,2,22,18,29,22,22,24
23,33,30.09,11,320,43.2,16,2,22,15,18,29,22,22
21.2,32,30.15,10,300,46.8,13,2,22,16,15,18,29,22
19.4,32,30.18,9,300,46.8,22,2,22,13,16,15,18,29
19.4,32,30.21,9,290,36,21,2,22,22,13,16,15,18
19.4,34,30.18,8,330,32.4,25,2,22,21,22,13,16,15
21.2,37,30.18,8,320,28.8,26,3,23,25,21,22,13,16
21.2,37,30.15,8,310,28.8,27,3,23,26,25,21,22,13
23,40,30.15,8,350,25.2,27,3,23,27,26,25,21,22
23,43,30.12,7,360,25.2,20,3,23,27,27,26,25,21
23,43,30.12,7,350,18,23,3,23,20,27,27,26,25
24.8,46,30.12,7,340,14.4,25,3,23,23,20,27,27,26
24.8,46,30.12,7,340,14.4,26,3,23,25,23,20,27,27
26.6,46,30.12,8,360,7.2,39,3,23,26,25,23,20,27
26.6,40,30.12,10,350,14.4,36,3,23,39,26,25,23,20
24.8,33,30.12,12,320,18,32,3,23,36,39,26,25,23
24.8,29,30.09,14,350,21.6,32,3,23,32,36,39,26,25
23,25,30.09,15,290,18,25,3,23,32,32,36,39,26
24.8,24,30.06,17,300,25.2,28,3,23,25,32,32,36,39
23,21,30.01,18,310,28.8,31,3,23,28,25,32,32,36
24.8,20,29.98,20,320,28.8,28,3,23,31,28,25,32,32
19.4,16,29.95,20,330,25.2,28,3,23,28,31,28,25,32
15.8,13,29.95,20,330,28.8,29,3,23,28,28,31,28,25
15.8,13,29.95,20,340,25.2,26,3,23,29,28,28,31,28
21.2,18,29.92,19,330,14.4,33,3,23,26,29,28,28,31
17.6,16,29.95,18,320,7.2,44,3,23,33,26,29,28,28
39.2,66,29.98,10,290,3.6,57,3,23,44,33,26,29,28
35.6,51,29.98,12,320,7.2,62,3,23,57,44,33,26,29
35.6,62,29.98,9,320,3.6,66,3,23,62,57,44,33,26
39.2,71,29.98,9,320,0,79,4,24,66,62,57,44,33
37.4,66,29.98,9,310,7.2,88,4,24,79,66,62,57,44
37.4,66,29.95,9,350,3.6,80,4,24,88,79,66,62,57
37.4,66,29.95,9,360,3.6,63,4,24,80,88,79,66,62
33.8,58,29.95,9,350,7.2,43,4,24,63,80,88,79,66
33.8,58,29.95,9,340,3.6,51,4,24,43,63,80,88,79
32,61,29.95,7,340,7.2,72,4,24,51,43,63,80,88
37.4,62,29.95,10,360,7.2,73,4,24,72,51,43,63,80
33.8,47,29.98,12,350,3.6,67,4,24,73,72,51,43,63
28.4,33,29.95,14,320,10.8,66,4,24,67,73,72,51,43
32,36,29.95,15,350,10.8,74,4,24,66,67,73,72,51
30.2,31,29.92,16,290,7.2,69,4,24,74,66,67,73,72
33.8,36,29.89,16,300,10.8,83,4,24,69,74,66,67,73
33.8,34,29.86,17,310,10.8,88,4,24,83,69,74,66,67
33.8,32,29.83,18,310,10.8,88,4,24,88,83,69,74,66
33.8,32,29.77,18,320,10.8,105,4,24,88,88,83,69,74
35.6,37,29.8,17,330,18,72,4,24,105,88,88,83,69
44.6,59,29.77,15,320,14.4,61,4,24,72,105,88,88,83
44.6,59,29.77,15,340,10.8,62,4,24,61,72,105,88,88
42.8,59,29.77,14,330,10.8,75,4,24,62,61,72,105,88
46.4,72,29.77,13,320,7.2,79,4,24,75,62,61,72,105
46.4,82,29.74,11,300,7.2,78,4,24,79,75,62,61,72
46.4,82,29.71,11,300,7.2,94,4,24,78,79,75,62,61
44.6,76,29.65,11,320,3.6,113,4,24,94,78,79,75,62
44.6,76,29.62,11,320,10.8,110,5,25,113,94,78,79,75
46.4,82,29.62,11,310,14.4,99,5,25,110,113,94,78,79
44.6,76,29.62,11,350,18,66,5,25,99,110,113,94,78
39.2,58,29.62,12,360,10.8,76,5,25,66,99,110,113,94
28.4,36,29.59,13,350,25.2,65,5,25,76,66,99,110,113
26.6,35,29.59,12,340,36,50,5,25,65,76,66,99,110
30.2,44,29.59,11,340,32.4,38,5,25,50,65,76,66,99
30.2,44,29.59,11,360,21.6,28,5,25,38,50,65,76,66
30.2,38,29.59,13,320,39.6,27,5,25,28,38,50,65,76
32,41,29.62,13,350,28.8,34,5,25,27,28,38,50,65
33.8,41,29.65,14,340,28.8,35,5,25,34,27,28,38,50
32,34,29.68,16,300,32.4,125,5,25,35,34,27,28,38
28.4,26,29.71,18,310,39.6,79,5,25,125,35,34,27,28
30.2,28,29.68,18,310,28.8,89,5,25,79,125,35,34,27
24.8,20,29.68,20,320,36,73,5,25,89,79,125,35,34
19.4,17,29.71,19,330,25.2,99,5,25,73,89,79,125,35
19.4,16,29.71,20,330,36,94,5,25,99,73,89,79,125
23,21,29.74,18,340,43.2,69,5,25,94,99,73,89,79
24.8,22,29.77,18,330,39.6,51,5,25,69,94,99,73,89
24.8,24,29.8,17,320,32.4,48,5,25,51,69,94,99,73
24.8,27,29.86,15,300,21.6,29,5,25,48,51,69,94,99
24.8,27,29.89,15,290,21.6,35,5,25,29,48,51,69,94
26.6,31,29.92,14,320,18,46,5,25,35,29,48,51,69
24.8,29,29.92,14,330,21.6,33,5,25,46,35,29,48,51
26.6,33,29.95,13,320,10.8,28,6,26,33,46,35,29,48
23,29,29.95,13,310,18,21,6,26,28,33,46,35,29
23,33,29.95,11,350,7.2,26,6,26,21,28,33,46,35
24.8,35,29.92,11,360,3.6,48,6,26,26,21,28,33,46
30.2,53,29.95,8,350,0,42,6,26,48,26,21,28,33
30.2,57,29.95,7,340,7.2,32,6,26,42,48,26,21,28
