"dewpti","hum","pressurei","tempm","wdird","wspdm","Value","wday","mday","nminus5Val","ENE","ESE","East","NE","NNE","NNW","NW","North","SE","SSE","SSW","SW","South","Variable","WNW","WSW","West"
30.2,34,30.09,15,320,14.4,31,6,12,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28.4,31,30.06,15,330,21.6,30,6,12,60,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.6,29,30.04,15,330,14.4,26,6,12,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
26.6,29,30.04,15,340,7.2,25,6,12,36,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
30.2,36,30.01,14,330,14.4,30,6,12,43,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.6,47,30.01,13,320,10.8,31,6,12,31,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.4,51,30.01,13,300,10.8,39,6,12,30,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.2,58,30.04,12,300,7.2,47,6,12,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
41,76,30.04,9,290,3.6,51,6,12,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,71,30.01,10,330,10.8,62,6,12,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,76,30.01,9,320,7.2,62,0,13,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,76,30.01,9,310,7.2,63,0,13,39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,87,29.98,7,350,3.6,67,0,13,47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.2,81,29.98,7,360,7.2,69,0,13,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
41,93,29.95,6,350,3.6,72,0,13,62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
37.4,93,29.95,4,340,10.8,71,0,13,62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.2,87,29.98,6,333.206940496,7.2,68,0,13,63,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.2,81,29.98,7,360,7.2,81,0,13,67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39.2,66,29.98,10,320,7.2,83,0,13,69,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
39.2,54,29.98,13,350,7.2,80,0,13,72,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
39.2,45,29.98,16,333.206940496,3.6,78,0,13,71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
39.2,40,29.98,18,300,3.6,94,0,13,68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37.4,31,29.92,21,310,7.2,110,0,13,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37.4,25,29.89,24,310,10.8,89,0,13,83,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
33.8,21,29.86,25,320,18,59,0,13,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.6,22,29.83,25,330,21.6,36,0,13,78,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26.6,16,29.8,25,320,21.6,28,0,13,94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
28.4,18,29.8,24,340,21.6,51,0,13,110,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.2,22,29.8,22,330,14.4,44,0,13,89,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
30.2,24,29.83,20,300,14.4,39,0,13,59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
26.6,21,29.86,20,300,18,51,0,13,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,25,29.86,21,290,25.2,75,0,13,28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.4,33,29.86,20,320,21.6,89,0,13,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.2,40,29.86,18,320,14.4,98,1,14,44,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,51,29.86,15,310,7.2,98,1,14,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,62,29.83,12,350,3.6,106,1,14,51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.8,67,29.86,12,360,7.2,106,1,14,75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,76,29.86,9,350,3.6,112,1,14,89,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42.8,82,29.86,9,340,3.6,114,1,14,98,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
42.8,87,29.86,8,333.206940496,3.6,120,1,14,98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
44.6,82,29.89,10,360,7.2,128,1,14,106,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
46.4,63,29.89,15,320,3.6,133,1,14,106,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.2,59,29.92,17,350,3.6,110,1,14,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.4,46,29.89,20,333.206940496,7.2,122,1,14,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,36,29.89,23,300,10.8,153,1,14,120,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44.6,32,29.86,25,310,10.8,108,1,14,128,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
37.4,21,29.83,27,310,14.4,109,1,14,133,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.4,21,29.8,27,330,21.6,81,1,14,110,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33.8,18,29.77,27,330,21.6,77,1,14,122,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
33.8,18,29.74,27,320,25.2,63,1,14,153,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
28.4,15,29.74,27,330,21.6,79,1,14,108,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
32,19,29.77,25,320,18,103,1,14,109,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
37.4,27,29.77,23,300,14.4,123,1,14,81,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42.8,35,29.83,22,290,14.4,125,1,14,77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
44.6,40,29.83,21,320,18,148,1,14,63,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.4,46,29.83,20,330,18,156,1,14,79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,56,29.83,19,330,18,157,1,14,103,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
51.8,64,29.83,18,320,10.8,152,2,15,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
51.8,68,29.83,17,310,7.2,168,2,15,125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,72,29.83,16,350,7.2,171,2,15,148,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,82,29.83,14,360,7.2,154,2,15,156,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,82,29.83,14,350,7.2,151,2,15,157,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,82,29.86,13,340,7.2,146,2,15,152,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,82,29.86,13,333.206940496,7.2,143,2,15,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,88,29.89,13,360,3.6,152,2,15,171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,77,29.89,15,320,3.6,176,2,15,154,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51.8,72,29.92,16,350,3.6,192,2,15,151,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53.6,68,29.92,18,333.206940496,3.6,195,2,15,146,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53.6,60,29.89,20,300,10.8,208,2,15,143,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
55.4,57,29.89,22,310,10.8,216,2,15,152,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
55.4,57,29.86,22,310,14.4,197,2,15,176,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53.6,50,29.86,23,330,14.4,180,2,15,192,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
51.8,44,29.83,24,330,18,161,2,15,195,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,39,29.83,25,320,18,166,2,15,208,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
46.4,34,29.83,25,330,14.4,167,2,15,216,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,44,29.83,23,320,7.2,168,2,15,197,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
50,49,29.86,21,300,3.6,178,2,15,180,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,56,29.86,20,300,7.2,192,2,15,161,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.6,68,29.89,18,290,3.6,220,2,15,166,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
51.8,68,29.92,17,320,3.6,231,2,15,167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,64,29.92,18,320,7.2,251,2,15,168,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,63,29.92,17,320,10.8,263,3,16,178,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,68,29.92,16,310,14.4,232,3,16,192,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,63,29.92,16,350,10.8,203,3,16,220,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,67,29.92,15,360,3.6,197,3,16,231,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.2,72,29.92,14,350,7.2,200,3,16,251,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,72,29.92,14,340,7.2,212,3,16,263,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4,77,29.95,12,333.206940496,3.6,218,3,16,232,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,82,29.95,13,360,0,234,3,16,203,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,68,29.98,16,320,3.6,256,3,16,197,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,63,29.98,17,350,7.2,257,3,16,200,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,60,29.98,19,333.206940496,10.8,273,3,16,212,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
53.6,53,29.98,22,300,10.8,245,3,16,218,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48.2,38,29.95,24,310,7.2,245,3,16,234,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
46.4,32,29.92,26,310,10.8,155,3,16,256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
41,24,29.89,27,330,14.4,116,3,16,257,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,23,29.86,28,330,18,128,3,16,273,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,24,29.86,27,320,14.4,115,3,16,245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,28,29.86,26,330,14.4,130,3,16,245,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,29,29.89,25,320,7.2,147,3,16,155,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
41,33,29.89,22,300,7.2,179,3,16,116,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,38,29.89,21,300,3.6,175,3,16,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,40,29.92,21,290,10.8,188,3,16,115,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.6,64,29.95,19,320,14.4,202,3,16,130,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.6,68,29.95,18,320,7.2,212,3,16,147,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53.6,72,29.95,17,320,10.8,217,4,17,179,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51.8,72,29.92,16,310,7.2,227,4,17,175,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,63,29.92,16,350,10.8,225,4,17,188,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,72,29.92,14,360,3.6,236,4,17,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.2,77,29.92,13,350,3.6,237,4,17,212,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.2,82,29.95,12,340,3.6,228,4,17,217,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.2,82,29.95,12,333.206940496,3.6,220,4,17,227,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
48.2,77,29.95,13,360,3.6,217,4,17,225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46.4,63,29.98,15,320,7.2,230,4,17,236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,59,29.98,17,350,3.6,231,4,17,237,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
50,46,29.95,22,290,10.8,247,4,17,228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,41,29.95,24,300,10.8,202,4,17,220,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
50,36,29.92,26,310,10.8,154,4,17,217,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44.6,26,29.89,28,320,18,142,4,17,230,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
39.2,20,29.86,29,330,21.6,119,4,17,231,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.2,20,29.83,29,330,21.6,104,4,17,247,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37.4,20,29.83,28,320,21.6,115,4,17,202,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35.6,20,29.83,27,340,21.6,132,4,17,154,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
39.2,26,29.86,25,330,14.4,124,4,17,142,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,33,29.89,22,300,10.8,123,4,17,119,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
42.8,38,29.89,21,300,10.8,111,4,17,104,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
44.6,40,29.92,21,290,7.2,108,4,17,115,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,46,29.92,19,330,10.8,113,4,17,132,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,46,29.92,19,320,10.8,121,5,18,124,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
44.6,52,29.92,17,310,7.2,128,5,18,123,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42.8,52,29.92,16,350,3.6,131,5,18,111,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,63,29.95,14,360,3.6,127,5,18,108,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,67,29.95,13,350,3.6,139,5,18,113,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44.6,67,29.95,13,340,3.6,139,5,18,121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
44.6,67,29.98,13,333.206940496,3.6,144,5,18,128,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
46.4,63,29.98,15,360,7.2,162,5,18,131,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,59,30.01,17,320,10.8,201,5,18,127,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
48.2,49,30.01,20,350,7.2,610,5,18,139,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
48.2,46,30.04,21,333.206940496,7.2,273,5,18,139,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48.2,41,30.01,23,300,7.2,153,5,18,144,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
44.6,32,30.01,25,310,18,148,5,18,162,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
